FRPM School-Level Data ,School Pov Rate,CDS_CODE
Academic Year,"Percent (%) 
Eligible FRPM 
(K-12)",County CodeDistrict CodeSchool Code
2016-2017,0.7419354838709677,01100170112607
2016-2017,0.6442307692307693,01100170123968
2016-2017,0.09243697478991597,01100170124172
2016-2017,0.2727272727272727,01100170125567
2016-2017,1,01100170130401
2016-2017,0.8140495867768595,01100170130419
2016-2017,0.9530201342281879,01100170131581
2016-2017,0.3945578231292517,01100176001788
2016-2017,0.8376623376623377,01100176002000
2016-2017,1,01316090131755
2016-2017,0.9394736842105263,01316170131763
2016-2017,0.1935483870967742,01611190000001
2016-2017,0.2185792349726776,01611190106401
2016-2017,0.6480331262939959,01611190111765
2016-2017,0.3143939393939394,01611190119222
2016-2017,0.34637964774951074,01611190122085
2016-2017,0.2774390243902439,01611190126656
2016-2017,0.18924972004479285,01611190130229
2016-2017,0.23529411764705882,01611190130609
2016-2017,0.9707602339181286,01611190130625
2016-2017,0.4552238805970149,01611190131805
2016-2017,0.40878629932985855,01611190132142
2016-2017,0.4296875,01611190134304
2016-2017,0.2570281124497992,01611196090005
2016-2017,0.11283185840707964,01611196090013
2016-2017,0.14604810996563575,01611196090021
2016-2017,0.15680473372781065,01611196090039
2016-2017,0.5272727272727272,01611196090047
2016-2017,0.13925570228091236,01611196090054
2016-2017,0.4549019607843137,01611196090112
2016-2017,0.46179401993355484,01611196090120
2016-2017,0.08852459016393442,01611196100374
2016-2017,0.09262166405023547,01611196110779
2016-2017,0,01611270000001
2016-2017,0.42857142857142855,01611270130294
2016-2017,0.18213058419243985,01611270130450
2016-2017,0.11213235294117647,01611276090146
2016-2017,0.15342763873775844,01611276090161
2016-2017,0.1188118811881188,01611276095376
2016-2017,0.29285714285714287,01611276116222
2016-2017,0.14285714285714285,01611430000001
2016-2017,0.7028112449799196,01611430122689
2016-2017,0.659942363112392,01611430122697
2016-2017,0.27866136514247847,01611430131177
2016-2017,0.6612903225806451,01611430134924
2016-2017,0.2622309197651663,01611436056857
2016-2017,0.40878378378378377,01611436056865
2016-2017,0.25617977528089886,01611436090187
2016-2017,0.3426395939086294,01611436090195
2016-2017,0.3782894736842105,01611436090211
2016-2017,0.29238329238329236,01611436090252
2016-2017,0.4032697547683924,01611436090278
2016-2017,0.2509025270758123,01611436090286
2016-2017,0.5875486381322957,01611436090294
2016-2017,0.3488372093023256,01611436090302
2016-2017,0.4566744730679157,01611436090310
2016-2017,0.33954451345755693,01611436090328
2016-2017,0.3180778032036613,01611436097729
2016-2017,0.3973509933774834,01611436105316
2016-2017,0.25,01611500000001
2016-2017,0.15384615384615385,01611500130047
2016-2017,0.2202054794520548,01611500132225
2016-2017,0,01611500133876
2016-2017,0.358974358974359,01611500135533
2016-2017,0.4205020920502092,01611506090351
2016-2017,0.208955223880597,01611506090369
2016-2017,0.22704081632653061,01611506090385
2016-2017,0.1524390243902439,01611506090393
2016-2017,0.3389473684210526,01611506090401
2016-2017,0.11188811188811189,01611506090419
2016-2017,0.1510204081632653,01611506090435
2016-2017,0.3150984682713348,01611506090468
2016-2017,0.14655172413793102,01611506090484
2016-2017,0.22493036211699163,01611506097653
2016-2017,0.06352941176470588,01611506113005
2016-2017,0.5,01611680000001
2016-2017,0.6892655367231638,01611680132746
2016-2017,0.7047244094488189,01611686090492
2016-2017,0.15384615384615385,01611760000001
2016-2017,0.030303030303030304,01611760127233
2016-2017,0.1668181818181818,01611760130062
2016-2017,0.4472049689440994,01611760130138
2016-2017,0.2903225806451613,01611760130435
2016-2017,0.1592920353982301,01611760130534
2016-2017,0.1200533570475767,01611760134270
2016-2017,0.3768953068592058,01611760134452
2016-2017,0.036445332001997004,01611760135244
2016-2017,0.2224565102793885,01611760138693
2016-2017,0.38850574712643676,01611766000541
2016-2017,0.3728129205921938,01611766000558
2016-2017,0.4642857142857143,01611766000566
2016-2017,0.46638655462184875,01611766000590
2016-2017,0.3124042879019908,01611766000624
2016-2017,0.21855670103092784,01611766000640
2016-2017,0.3181818181818182,01611766000665
2016-2017,0.02328159645232816,01611766000673
2016-2017,0.20904836193447737,01611766000681
2016-2017,0.2164048865619546,01611766000715
2016-2017,0.12698412698412698,01611766000723
2016-2017,0.06646971935007386,01611766000749
2016-2017,0.10189982728842832,01611766000756
2016-2017,0.2024866785079929,01611766000764
2016-2017,0.0753045404208195,01611766000798
2016-2017,0.25354330708661416,01611766000806
2016-2017,0.2224334600760456,01611766000830
2016-2017,0.058611361587015326,01611766000848
2016-2017,0.2805907172995781,01611766056873
2016-2017,0.4240231548480463,01611766056881
2016-2017,0.11759799833194329,01611766056907
2016-2017,0.16118935837245696,01611766056915
2016-2017,0.04825737265415549,01611766056923
2016-2017,0.04894179894179894,01611766066468
2016-2017,0.10401188707280833,01611766089320
2016-2017,0.14872364039955605,01611766089619
2016-2017,0.04832214765100671,01611766090526
2016-2017,0.026984126984126985,01611766090534
2016-2017,0.16299559471365638,01611766090542
2016-2017,0.22408026755852842,01611766090559
2016-2017,0.05807814149947202,01611766104723
2016-2017,0.04784688995215311,01611766106983
2016-2017,0.03758654797230465,01611766111330
2016-2017,0.18666666666666668,01611920000001
2016-2017,0.5986159169550173,01611920108670
2016-2017,0.49014084507042255,01611920111815
2016-2017,0.6081771720613288,01611920113902
2016-2017,0.38493723849372385,01611920119248
2016-2017,0.6529516994633273,01611920127696
2016-2017,0.5,01611920127944
2016-2017,0.7142857142857143,01611920131334
2016-2017,0.595,01611920133009
2016-2017,0.6567258883248731,01611920133629
2016-2017,0.6113602391629297,01611920135319
