Academic Year,District Name,School Name,Reporting Category,ChronicAbsenteeismEligibleCumulativeEnrollment,ChronicAbsenteeismCount,ChronicAbsenteeismRate,Graduate count
2022-23,Lucerne Valley Unified,Gorman Learning Center San Bernardino/Santa Clarita,SD,262,19,7.3,11
2022-23,Liberty Union High,Heritage High,SD,307,95,30.9,44
2022-23,Corona-Norco Unified,District Office,GM,19,9,47.4,3
2022-23,Liberty Union High,Liberty High,SD,502,152,30.3,6
2022-23,Torrance Unified,District Office,SS,30,0,0,1
2022-23,Glendale Unified,Herbert Hoover High,SS,978,273,27.9,298
2022-23,Manhattan Beach Unified,District Office,TA,25,0,0,15
2022-23,Temple City Unified,District Office,GM,14,4,28.6,3
2022-23,Los Angeles Unified,"Math, Science, & Technology Magnet Academy at Roosevelt High",SS,351,81,23.1,96
2022-23,Kern High,South High,SM,90,12,13.3,18
2022-23,Riverside County Office of Education,JCS - Pine Hills,RA,16,1,6.3,1
2022-23,Mt. Diablo Unified,District Office,GF,117,36,30.8,2
2022-23,Kern High,Shafter High,SE,292,102,34.9,47
2022-23,San Diego Unified,Lincoln High,RA,47,9,19.1,6
2022-23,Colton Joint Unified,Washington High,GF,193,52,26.9,11
2022-23,San Bernardino County Office of Education,Excelsior Charter,SD,428,2,0.5,58
2022-23,Butte County Office of Education,Hearthstone,RT,22,5,22.7,4
2022-23,Colusa County Office of Education,S. William Abel Academy,SS,26,18,69.2,7
2022-23,Monterey Peninsula Unified,District Office,TA,28,9,32.1,4
2022-23,Acton-Agua Dulce Unified,Mission Academy,RA,14,12,85.7,1
2022-23,Kern High,Arvin High,RW,48,18,37.5,5
2022-23,Alameda Unified,Encinal Junior/Senior High,RT,126,28,22.2,17
2022-23,Visalia Unified,El Diamante High,SD,261,67,25.7,33
2022-23,Fontana Unified,District Office,SS,11,4,36.4,1
2022-23,Modesto City High,Grace M. Davis High,SS,1738,620,35.7,360
2022-23,Jefferson Union High,Westmoor High,GM,737,127,17.2,146
2022-23,San Lorenzo Unified,Arroyo High,RB,86,25,29.1,2
2022-23,Tracy Joint Unified,Tracy Independent Study Charter,RT,40,17,42.5,4
2022-23,Los Angeles Unified,Cal Burke High,SE,47,41,87.2,12
2022-23,Grossmont Union High,Chaparral High,RW,49,38,77.6,204
2022-23,San Mateo Union High,San Mateo High,RP,29,10,34.5,6
2022-23,Merced County Office of Education,Valley Merced Community,SD,64,28,43.8,14
2022-23,Tehachapi Unified,Tehachapi High,SE,95,23,24.2,13
2022-23,Campbell Union High,District Office,TA,168,59,35.1,18
2022-23,Red Bluff Joint Union High,Salisbury High (Continuation),SH,38,34,89.5,18
2022-23,San Lorenzo Unified,KIPP King Collegiate High,GF,323,76,23.5,77
2022-23,Perris Union High,Liberty High,RW,495,130,26.3,232
2022-23,Los Angeles Unified,View Park Continuation,SS,34,33,97.1,13
2022-23,Huntington Beach Union High,Westminster High,RW,101,26,25.7,19
2022-23,Lodi Unified,Plaza Robles Continuation High,GF,77,51,66.2,31
2022-23,Westside Elementary,Yosemite Valley Charter,GM,1237,20,1.6,41
2022-23,South San Francisco Unified,El Camino High,RA,185,10,5.4,22
2022-23,Monterey Peninsula Unified,District Office,RH,11,4,36.4,3
2022-23,Los Angeles Unified,Edward R. Roybal Learning Center,RH,1022,432,42.3,173
2022-23,Acton-Agua Dulce Unified,"Method Schools, LA",GM,150,43,28.7,32
2022-23,Monterey Peninsula Unified,District Office,GF,11,3,27.3,2
2022-23,Poway Unified,District Office,SE,27,0,0,1
2022-23,Pomona Unified,Diamond Ranch High,RF,49,8,16.3,17
2022-23,Live Oak Unified,Live Oak Alternative,TA,69,20,29,17
2022-23,Riverside Unified,Polytechnic High,RT,50,9,18,37
2022-23,Columbia Elementary,Phoenix Charter Academy College View,GF,160,1,0.6,24
2022-23,San Diego Unified,Lincoln High,SD,344,159,46.2,64
2022-23,Santa Ana Unified,Middle College High,RA,21,1,4.8,3
2022-23,San Francisco Unified,Wallenberg (Raoul) Traditional High,RF,19,4,21.1,1
2022-23,Fort Sage Unified,Herlong High,RW,29,20,69,5
2022-23,Borrego Springs Unified,Borrego Springs High,RW,20,10,50,6
2022-23,San Rafael City High,Madrone High Continuation,SH,28,8,28.6,2
2022-23,Martinez Unified,Alhambra Senior High,GF,524,89,17,128
2022-23,Campbell Union High,District Office,RH,71,27,38,1
2022-23,Lodi Unified,Liberty High,GF,84,67,79.8,282
2022-23,Perris Union High,Liberty High,SS,975,250,25.6,168
2022-23,Garden Grove Unified,Marie L. Hare High,SS,336,205,61,105
2022-23,San Lorenzo Unified,KIPP King Collegiate High,RA,183,8,4.4,45
2022-23,Chowchilla Union High,Chowchilla Union High,RA,24,2,8.3,7
2022-23,Sacramento City Unified,John F. Kennedy High,RW,227,58,25.6,2
2022-23,Desert Sands Unified,La Quinta High,GM,1276,395,31,269
2022-23,Val Verde Unified,Orange Vista High,SE,310,100,32.3,39
2022-23,Palo Verde Unified,Twin Palms Continuation,SE,17,15,88.2,6
2022-23,Woodland Joint Unified,District Office,GF,11,7,63.6,8
2022-23,El Rancho Unified,Ruben Salazar Continuation,RH,273,204,74.7,77
2022-23,Visalia Unified,District Office,SS,37,1,2.7,1
2022-23,Orange Unified,OUSD Home Sch,SD,29,16,55.2,3
2022-23,Newport-Mesa Unified,District Office,RH,32,13,40.6,4
2022-23,Humboldt County Office of Education,Northern United - Humboldt Charter,SD,53,15,28.3,5
2022-23,Redding Elementary,District Office,GM,37,2,5.4,3
2022-23,Orange Unified,Canyon High,GM,1095,204,18.6,200
2022-23,Desert Sands Unified,Palm Desert High,GM,1078,329,30.5,244
2022-23,Redlands Unified,District Office,RW,121,9,7.4,5
2022-23,Anaheim Union High,John F. Kennedy High,RF,258,16,6.2,17
2022-23,San Juan Unified,El Sereno Alternative Education,RB,18,9,50,5
2022-23,Anaheim Union High,Western High,SE,458,144,31.4,59
2022-23,Twin Rivers Unified,Futures High,RW,373,38,10.2,43
2022-23,Byron Union Elementary,Vista Oaks Charter,SE,32,2,6.3,2
2022-23,Brentwood Union Elementary,District Office,SD,42,24,57.1,2
2022-23,Escondido Union High,San Pasqual High,RH,1362,395,29,286
2022-23,Contra Costa County Office of Education,Contra Costa School of Performing Arts,GF,245,42,17.1,21
2022-23,Norwalk-La Mirada Unified,El Camino High (Continuation),SH,206,165,80.1,94
2022-23,Contra Costa County Office of Education,Clayton Valley Charter High,SS,594,113,19,120
2022-23,Sweetwater Union High,District Office,RB,42,37,88.1,1
