Academic Year,District Name,School Name,Reporting Category,ChronicAbsenteeismEligibleCumulativeEnrollment,ChronicAbsenteeismCount,ChronicAbsenteeismRate,Graduate count,Graduation Rate
2022-23,Los Angeles Unified,Elizabeth Learning Center,SE,385,159,41.3,22,0.05714285714285714
2022-23,Compton Unified,District Office,RH,77,26,33.8,2,0.025974025974025976
2022-23,Napa Valley Unified,American Canyon High,GM,873,169,19.4,204,0.23367697594501718
2022-23,Fremont Union High,Homestead High,GM,1217,143,11.8,284,0.23336072308956451
2022-23,Bellflower Unified,District Office,SD,36,10,27.8,1,0.027777777777777776
2022-23,Manhattan Beach Unified,Mira Costa High,RT,332,20,6,83,0.25
2022-23,Jefferson Union High,District Office,SS,11,6,54.5,1,0.09090909090909091
2022-23,Los Angeles Unified,Boys Academic Leadership Academy,RB,69,15,21.7,3,0.043478260869565216
2022-23,Chaffey Joint Union High,Chaffey High,SD,543,251,46.2,76,0.13996316758747698
2022-23,Lodi Unified,Middle College High,GF,181,16,8.8,56,0.30939226519337015
2022-23,Cabrillo Unified,District Office,GF,14,1,7.1,1,0.07142857142857142
2022-23,Poway Unified,Poway High,SH,93,32,34.4,15,0.16129032258064516
2022-23,Modesto City Elementary,Connecting Waters Charter School - Central Valley,SH,17,1,5.9,2,0.11764705882352941
2022-23,Cloverdale Unified,Cloverdale High,SD,55,35,63.6,11,0.2
2022-23,Mountain View-Los Altos Union High,Los Altos High,RW,722,78,10.8,181,0.25069252077562326
2022-23,Fillmore Unified,Sierra High,RH,120,69,57.5,15,0.125
2022-23,Monterey Peninsula Unified,Central Coast High,SD,29,25,86.2,16,0.5517241379310345
2022-23,Kern High,Frontier High,RB,65,14,21.5,3,0.046153846153846156
2022-23,Santa Clara County Office of Education,Summit Public School: Tahoma,SS,88,31,35.2,20,0.22727272727272727
2022-23,Tustin Unified,Foothill High,RA,197,9,4.6,262,1.3299492385786802
2022-23,Perris Union High,Scholar Plus Online Learning,RH,132,121,91.7,16,0.12121212121212122
2022-23,West Contra Costa Unified,Hercules High,SS,262,79,30.2,63,0.24045801526717558
2022-23,East Side Union High,Latino College Preparatory Academy,GM,190,50,26.3,37,0.19473684210526315
2022-23,Pasadena Unified,District Office,GF,33,12,36.4,1,0.030303030303030304
2022-23,Oakland Unified,Skyline High,SH,70,50,71.4,9,0.12857142857142856
2022-23,Scott Valley Unified,Etna Union High,GF,78,21,26.9,16,0.20512820512820512
2022-23,Shasta Union High,Shasta Charter Academy,GF,161,3,1.9,36,0.2236024844720497
2022-23,Sierra Unified,Sierra High,SD,57,18,31.6,40,0.7017543859649122
2022-23,Pleasanton Unified,Foothill High,SE,79,22,27.8,35,0.4430379746835443
2022-23,Washington Unified,Washington Middle College High,SS,124,13,10.5,16,0.12903225806451613
2022-23,Capistrano Unified,Capistrano Union High,SS,179,85,47.5,54,0.3016759776536313
2022-23,Fallbrook Union High,Oasis High (Alternative),GF,66,6,9.1,27,0.4090909090909091
2022-23,Newport-Mesa Unified,District Office,GM,41,17,41.5,6,0.14634146341463414
2022-23,Dublin Unified,District Office,RA,12,3,25,2,0.16666666666666666
2022-23,Fresno Unified,District Office,RW,38,19,50,2,0.05263157894736842
2022-23,Sweetwater Union High,Hilltop Senior High,RB,38,13,34.2,5,0.13157894736842105
2022-23,Covina-Valley Unified,South Hills High,RA,118,5,4.2,28,0.23728813559322035
2022-23,Los Angeles Unified,WISH Academy High,SD,85,18,21.2,15,0.17647058823529413
2022-23,Sacramento City Unified,Luther Burbank High,RB,316,164,51.9,46,0.14556962025316456
2022-23,Huntington Beach Union High,Coast High,SE,30,6,20,2,0.06666666666666667
2022-23,Yuba City Unified,Yuba City High,GM,964,172,17.8,166,0.17219917012448133
2022-23,Pleasanton Unified,Foothill High,RW,707,115,16.3,1,0.0014144271570014145
2022-23,Montebello Unified,Schurr High,SD,323,84,26,58,0.17956656346749225
2022-23,Liberty Union High,Independence High,SD,30,19,63.3,23,0.7666666666666667
2022-23,Round Valley Unified,Round Valley High,GM,71,32,45.1,4,0.056338028169014086
2022-23,Pasadena Unified,District Office,RW,19,2,10.5,1,0.05263157894736842
2022-23,Oceanside Unified,Coastal Academy Charter,TA,1910,56,2.9,123,0.06439790575916231
2022-23,San Diego Unified,Kearny College Connections,SD,51,14,27.5,4,0.0784313725490196
2022-23,Fremont Unified,Vista Alternative,SS,47,43,91.5,8,0.1702127659574468
2022-23,Northern Humboldt Union High,McKinleyville High,RI,60,33,55,9,0.15
2022-23,San Bernardino City Unified,Sierra High,SH,90,84,93.3,9,0.1
2022-23,Escalon Unified,Escalon Charter Academy,GM,152,4,2.6,1,0.006578947368421052
2022-23,Desert Sands Unified,La Quinta High,RW,415,117,28.2,82,0.19759036144578312
2022-23,Farmersville Unified,Deep Creek Academy,GM,47,24,51.1,19,0.40425531914893614
2022-23,Folsom-Cordova Unified,Innovations Academy,SS,126,83,65.9,4,0.031746031746031744
2022-23,Waterford Unified,Waterford High,SE,129,40,31,23,0.17829457364341086
2022-23,Los Angeles Unified,Susan Miller Dorsey Senior High,SF,16,7,43.8,4,0.25
2022-23,Southern Kern Unified,Rosamond High Early College Campus,TA,960,297,30.9,166,0.17291666666666666
2022-23,Lodi Unified,Bear Creek High,SF,33,10,30.3,4,0.12121212121212122
2022-23,Alhambra Unified,Alhambra High,RB,20,7,35,7,0.35
2022-23,Los Angeles Unified,Hollywood Senior High,GF,655,268,40.9,152,0.23206106870229007
2022-23,Contra Costa County Office of Education,Making Waves Academy,GF,578,135,23.4,51,0.08823529411764706
2022-23,Los Angeles Unified,Port of Los Angeles High,RH,789,122,15.5,166,0.21039290240811154
2022-23,Pasadena Unified,District Office,SD,62,22,35.5,7,0.11290322580645161
2022-23,Imperial Unified,Imperial Ave. Holbrook High,RH,68,31,45.6,9,0.1323529411764706
2022-23,Natomas Unified,Discovery High,GF,88,73,83,44,0.5
2022-23,Sweetwater Union High,District Office,RW,151,128,84.8,1,0.006622516556291391
2022-23,Whittier Union High,Sierra Vista High (Alternative),SH,68,41,60.3,20,0.29411764705882354
2022-23,San Ramon Valley Unified,Venture (Alternative),SS,31,15,48.4,6,0.1935483870967742
2022-23,Le Grand Union High,Le Grand High,SD,33,11,33.3,6,0.18181818181818182
2022-23,Long Beach Unified,District Office,GM,173,86,49.7,1,0.005780346820809248
2022-23,Santa Monica-Malibu Unified,Santa Monica High,RF,16,6,37.5,5,0.3125
2022-23,Newport-Mesa Unified,District Office,TA,68,27,39.7,7,0.10294117647058823
2022-23,Inyo County Office of Education,College Bridge Academy,SS,293,168,57.3,58,0.19795221843003413
2022-23,Tustin Unified,District Office,TA,99,39,39.4,15,0.15151515151515152
2022-23,Sweetwater Union High,Mar Vista Senior High,SS,1168,260,22.3,222,0.19006849315068494
2022-23,Merced Union High,El Capitan High,RB,92,38,41.3,11,0.11956521739130435
2022-23,Taft Union High,Taft Union High,RD,12,5,41.7,2,0.16666666666666666
2022-23,Oakdale Joint Unified,Oakdale High,SS,806,185,23,135,0.1674937965260546
2022-23,Windsor Unified,Windsor Oaks Academy,SS,35,31,88.6,11,0.3142857142857143
2022-23,Dixon Unified,Dixon High,SD,119,33,27.7,25,0.21008403361344538
2022-23,Los Angeles Unified,University Pathways Medical Magnet Academy,SE,17,3,17.6,1,0.058823529411764705
2022-23,Temple City Unified,District Office,SD,23,9,39.1,5,0.21739130434782608
2022-23,Bellflower Unified,Mayfair High,TA,2654,506,19.1,381,0.14355689525244913
2022-23,Acton-Agua Dulce Unified,Compass Charter Schools of Los Angeles,RH,508,46,9.1,16,0.031496062992125984
2022-23,San Rafael City High,Terra Linda High,RH,638,259,40.6,124,0.19435736677115986
2022-23,El Monte City,District Office,GF,20,7,35,4,0.2
2022-23,Corona-Norco Unified,Santiago High,RT,75,9,12,18,0.24
2022-23,Twin Rivers Unified,Rio Linda High,GM,936,331,35.4,178,0.19017094017094016
2022-23,Compton Unified,District Office,SE,26,5,19.2,1,0.038461538461538464
2022-23,Mt. Diablo Unified,District Office,RW,89,26,29.2,1,0.011235955056179775
2022-23,Summerville Union High,Summerville High,GF,195,55,28.2,45,0.23076923076923078
2022-23,Dublin Unified,District Office,GF,11,1,9.1,2,0.18181818181818182
2022-23,Delano Joint Union High,Valley High,GM,108,71,65.7,266,2.462962962962963
2022-23,Davis Joint Unified,Da Vinci Charter Academy,RA,40,3,7.5,2,0.05
2022-23,Los Angeles Unified,Valley Academy of Arts and Sciences,RF,46,2,4.3,16,0.34782608695652173
2022-23,Santa Monica-Malibu Unified,Malibu High,RW,295,82,27.8,72,0.2440677966101695
2022-23,Irvine Unified,Woodbridge High,RF,58,2,3.4,14,0.2413793103448276
